N/o,Data anuntului,IDNO,Denumirea,Adresa,Din,In
343,2025-09-10,1004600060021,"Asociaţia de Proprietari din Condominiu ""A0130-0245""","MD-2028, sos. Hînceşti 62/2, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.50/472"" COOP","Asociaţia de Proprietari din Condominiu ""A0130- 0245"""
344,2025-09-12,1022600017126,"Societatea cu Răspundere Limitată ""AGRO FARM SYSTEM""","MD-6801, str. Moldova 4, ap.(of.) 10, or. Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""FIXER DECOR""","Societatea cu Răspundere Limitată ""AGRO FARM SYSTEM"""
345,2025-09-12,1025600054142,"Societatea cu Răspundere Limitată ""PAVS-WOOD""","MD-4401, str. Constructorilor 10, or. Călăraşi, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""P AVS-VOOD""","Societatea cu Răspundere Limitată ""PAVS- WOOD"""
346,2025-09-15,1015600005844,"Societatea cu Răspundere Limitată ""INTER CARS MOLDOVA""","MD-2004, str. Columna 170/2, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""INTER CARS PIESE AUTO""","Societatea cu Răspundere Limitată ""INTER CARS MOLDOVA"""
347,2025-09-15,1025602002192,"Societatea cu Răspundere Limitată ""BLAJOBS-WORK FORCE""","MD-2011, str. Costiujeni 1/G, ap.(of.) 4, or. Codru, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ASIA WORK FORCE""","Societatea cu Răspundere Limitată ""BLAJOBS- WORK FORCE"""
348,2025-09-16,1010600016065,"Asociaţia de Proprietari din Condominiu ""A0120-0292""","MD-2008, str. Vasile Lupu 63, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/61""","Asociaţia de Proprietari din Condominiu ""A0120- 0292"""
349,2025-09-16,1024600060436,"Societatea cu Răspundere Limitată ""TOK BYTE""","MD-2044, str. Vadul lui Vodă 170, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SUNSHINE SOLAR TECH""","Societatea cu Răspundere Limitată ""TOK BYTE"""
350,2025-09-17,1021600050869,"Societatea cu Răspundere Limitată ""CONSPLUS""","MD-4814, str. 8 Martie 25, s. Budeşti, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PLANTOSFERA""","Societatea cu Răspundere Limitată ""CONSPLUS"""
351,2025-09-17,1003600044950,"Asociaţia de Proprietari din Condominiu ""A0130-0246""","MD-2070, str. Sf.Vineri 16a, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.50/423"" COOP","Asociaţia de Proprietari din Condominiu ""A0130- 0246"""
352,2025-09-18,1021606002435,"Societatea cu Răspundere Limitată ""VART COFFEE COMPANY""","MD-3501, str. Vasile Lupu 58, ap.(of.) 4, mun. Orhei, r-l Orhei, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""A.B.C. BEAUTY ROOM""","Societatea cu Răspundere Limitată ""VART COFFEE COMPANY"""
353,2025-09-19,1024600088836,"Societatea cu Răspundere Limitată ""ANTHILL ESTATE""","MD-6801, str. Alexandru Cristea 34, ap.(of.) 22, or. Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""FLATKEEPERS UNION""","Societatea cu Răspundere Limitată ""ANTHILL ESTATE"""
354,2025-09-22,1022600019717,"Societatea cu Răspundere Limitată ""LV TRANS LOGISTIC""","MD-6828, s. Ţipala, r-l Ialoveni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""TRANSMAGDALENA LOGISTIC""","Societatea cu Răspundere Limitată ""LV TRANS LOGISTIC"""
355,2025-09-23,1018600035538,"Societatea cu Răspundere Limitată ""ENERGON-AD""","MD-2051, str. George Călinescu 2, ap.(of.) 18, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""AMBASADOR SYSTEMS""","Societatea cu Răspundere Limitată ""ENERGON- AD"""
356,2025-09-24,1002600043901,"Societatea cu Răspundere Limitată ""DGA & WLADEBO GROUP""","MD-2075, str. Mihail Sadoveanu 40/59, ap.(of.) 5, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""DICAROS""","Societatea cu Răspundere Limitată ""DGA & WLADEBO GROUP"""
357,2025-09-24,1023606000114,"Societatea cu Răspundere Limitată ""MIRONIX ECO""","MD-2003, str. Cartuşa 95/2, ap.(of.) 44, or. Durleşti, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ECHIPA 220 VINZARI""","Societatea cu Răspundere Limitată ""MIRONIX ECO"""
358,2025-09-24,1023609001396,"Societatea cu Răspundere Limitată ""BORA MARIN CONSTRUCTION""","MD-3601, str. Mitropolit Gavriil Bănulescu- Bodoni 27, mun. Ungheni, r-l Ungheni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BORA MARIN CONTRACTION""","Societatea cu Răspundere Limitată ""BORA MARIN CONSTRUCTION"""
359,2025-09-24,1017600016064,"Societatea cu Răspundere Limitată ""TEXORA""","MD-2012, str. Alexandr Puşkin 5B, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ANAGEO TEXTIL""","Societatea cu Răspundere Limitată ""TEXORA"""
360,2025-09-24,1019600025785,"Societatea cu Răspundere Limitată ""PROGRES CONT""","MD-2044, bd. Mircea cel Batrîn 20/6, ap.(of.) 175, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""LENDARGO""","Societatea cu Răspundere Limitată ""PROGRES CONT"""
361,2025-09-25,1016600002851,"Societatea cu Răspundere Limitată ""EREV MOTORS""","MD-3733, str. Calea Ieşilor 28/2, s. Truşeni, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MEGATEX-PRO""","Societatea cu Răspundere Limitată ""EREV MOTORS"""
362,2025-09-25,1023606000103,"Societatea cu Răspundere Limitată ""BEN SOLAR""","MD-2085, str. Întemeietorul Crudu 8, s. Cruzeşti, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ECHIPA 220 CENTRU""","Societatea cu Răspundere Limitată ""BEN SOLAR"""
363,2025-09-25,1014600032643,"Societatea cu Răspundere Limitată ""INOX ONE SOLUTION""","MD-2025, str. Nicolae Testemiţanu 19/2, ap.(of.) 43, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""TM INOX SOLUTION""","Societatea cu Răspundere Limitată ""INOX ONE SOLUTION"""
364,2025-09-26,1003600070689,"Asociaţia de Proprietari din Condominiu ""A0110-0268""","MD-2060, bd. Cuza-Vodă 6, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.51/141"" COOP","Asociaţia de Proprietari din Condominiu ""A0110- 0268"""
365,2025-09-26,1004601004167,"Societatea cu Răspundere Limitată ""ARTEMAGLIA COMPANY""","MD-6801, str. Alexandru cel Bun 43, or. Ialoveni, Republica Moldova","INTREPRINDEREA MIXTA ""ARTEMAGLIA COMPANY"" S.R.L.","Societatea cu Răspundere Limitată ""ARTEMAGLIA COMPANY"""
366,2025-09-26,1024609004338,"Societatea cu Răspundere Limitată ""BARRE PILATES""","MD-2071, str. Alba-Iulia 21, ap.(of.) 1, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""GLOBAL FRUIT TRADING""","Societatea cu Răspundere Limitată ""BARRE PILATES"""
367,2025-09-26,1016600040057,"Societatea cu Răspundere Limitată ""FINANCE SOLUTIONS""","MD-2051, str. Alba-Iulia 77/17, ap.(of.) 24, mun. Chişinău, Republica Moldova","ORGANIZATIA DE CREDITARE NEBANCARA ""FINANCE SOLUTIONS"" S.R.L.","Societatea cu Răspundere Limitată ""FINANCE SOLUTIONS"""
368,2025-09-29,1022600054749,"Societatea cu Răspundere Limitată ""NATTOP SOFTWARE""","MD-2009, str. Constantin Stere 20, ap.(of.) 79, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PRODYS IT""","Societatea cu Răspundere Limitată ""NATTOP SOFTWARE"""
369,2025-09-30,1002600026999,"Societatea cu Răspundere Limitată ""UNIC""","MD-2001, bd. Ştefan cel Mare şi Sfînt 8, mun. Chişinău, Republica Moldova","SOCIETATEA PE ACTIUNI MAGAZINUL UNIVERSAL CENTRAL ""UNIC""","Societatea cu Răspundere Limitată ""UNIC"""
370,2025-09-30,1004600011436,"Societatea Comercială ""TOTAL EXPERT CONSULTING"" S.R.L.","MD-2020, str. Socoleni 2/A, ap.(of.) 4, mun. Chişinău, Republica Moldova","SOCIETATEA COMERCIALA ""AGAS A & D"" S.R.L.","Societatea Comercială ""TOTAL EXPERT CONSULTING"" S.R.L."
371,2025-09-30,1006608002476,"Societatea Comercială ""SGTA ORIGIN"" S.R.L.","MD-4237, str. 1 Mai 69, s. Talmaza, r-l Ştefan Vodă, Republica Moldova","SOCIETATEA COMERCIALA ""TALMAZA - PLUS"" S.R.L.","Societatea Comercială ""SGTA ORIGIN"" S.R.L."
372,2025-10-01,1019600015223,"Societatea cu Răspundere Limitată ""FLOREAPRIM DESIGN""","MD-6526, str. Colinelor 16, s. Mereni, r-l Anenii Noi, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ALITRANSIT GROUP""","Societatea cu Răspundere Limitată ""FLOREAPRIM DESIGN"""
373,2025-10-03,1003600067436,"Asociaţia de Proprietari din Condominiu ""A0150-0321""","MD-2020, str. Iazului 11, mun. Chişinău, Republica Moldova","COOPERATIVA DE CONSTRUCTIE A LOCUINTELOR ""NR.253""","Asociaţia de Proprietari din Condominiu ""A0150- 0321"""
374,2025-10-03,1003600074724,"Asociaţia de Proprietari din Condominiu ""A0140-0177""","MD-2075, str. Nicolae Milescu-Spătarul 21/3, mun. Chişinău, Republica Moldova","COOPERATIVA DE CONSTRUCTIE A LOCUINTELOR ""NR.189""","Asociaţia de Proprietari din Condominiu ""A0140- 0177"""
375,2025-10-03,1023600030089,"Societatea cu Răspundere Limitată ""DOMUS RESIDENCE""","MD-2011, str. Pădurilor 4, or. Codru, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PRO LEGAL ACTIVITY""","Societatea cu Răspundere Limitată ""DOMUS RESIDENCE"""
376,2025-10-03,1023600059660,"Societatea cu răspundere Limitată ""DANIELLE DANIELL""","MD-2064, str. Ştefan Neaga 67, ap.(of.) 80, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""AGRODAN DAR""","Societatea cu răspundere Limitată ""DANIELLE DANIELL"""
377,2025-10-03,1004600024520,"Societatea cu Răspundere Limitată ""AGROMIUG""","MD-2038, str. Trandafirilor 39, ap.(of.) 22, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA ""AGROMIUG"" S.R.L.","Societatea cu Răspundere Limitată ""AGROMIUG"""
378,2025-10-03,1024600058822,"Societatea cu Răspundere Limitată ""ECO PROJECT""","MD-2004, bd. Ştefan cel Mare şi Sfînt 171/2, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ECO TRADE EXPERT""","Societatea cu Răspundere Limitată ""ECO PROJECT"""
379,2025-10-06,1014600011208,"Societatea cu Răspundere Limitată ""TURING TEST PASSED""","MD-2008, str. Vasile Lupu 59, ap.(of.) 55, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SOFT APPELIER""","Societatea cu Răspundere Limitată ""TURING TEST PASSED"""
380,2025-10-07,1021600038092,"Societatea cu Răspundere Limitată ""UNTILA CLINIC""","MD-2072, str. Grenoble 255/1, ap.(of.) 13, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""UDENT&PARTNERS""","Societatea cu Răspundere Limitată ""UNTILA CLINIC"""
381,2025-10-08,1009600030263,"Societatea cu Răspundere Limitată ""ROSES KINGDOM""","MD-4127, s. Sagaidac, r-l Cimişlia, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MXA GROUP""","Societatea cu Răspundere Limitată ""ROSES KINGDOM"""
382,2025-10-09,1022600045804,"Societatea cu Răspundere Limitată ""SCANDIC COMPANY""","MD-2012, str. Mihai Eminescu 72, ap.(of.) 105, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SCANDIC CALL CENTER""","Societatea cu Răspundere Limitată ""SCANDIC COMPANY"""
383,2025-10-09,1025600032179,"Societatea cu Răspundere Limitată ""SMART KIDS ACADEMY""","MD-3701, str. Ştefan cel Mare 80, mun. Străşeni, r-l Străşeni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""NUMERA CONSULTING""","Societatea cu Răspundere Limitată ""SMART KIDS ACADEMY"""
384,2025-10-10,1005600033543,"Societatea cu Răspundere Limitată ""OSMII""","MD-5535, s. Vărăncău, TDS Nistrului, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ÎŃÜĚČÉ""","Societatea cu Rгspundere Limitatг ""OSMII"""
385,2025-10-10,1015600007723,"Societatea cu Răspundere Limitată ""DIGITAL LEARNING LAB""","MD-2012, str. Alesandro Bernardazzi 42, ap.(of.) 14, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""HELLO CAREER""","Societatea cu Răspundere Limitată ""DIGITAL LEARNING LAB"""
386,2025-10-13,1023600046532,"Entitate de Audit ""PROFITPULSE AUDIT"" Societatea cu Răspundere Limitată","MD-2032, str. Nicolai Zelinski 5/8, ap.(of.) 76, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PROFITPULSE CONSULTING""","Entitate de Audit ""PROFITPULSE AUDIT"" Societatea cu Răspundere Limitată"
387,2025-10-13,1007600004552,"Societatea cu Răspundere Limitată ""CAMINOTRANS GRUP""","MD-2071, str. Ion Luca Caragiale 10, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MOROIANU IURIE""","Societatea cu Răspundere Limitată ""CAMINOTRANS GRUP"""
388,2025-10-13,1007606002000,"Societatea cu Răspundere Limitată ""GOLOSEEVO""","MD-5820, s. Ghiliceni, r-l Teleneşti, Republica Moldova","INTREPRINDEREA MIXTA ""GOLOSEEVO"" S.R.L.","Societatea cu Răspundere Limitată ""GOLOSEEVO"""
389,2025-10-15,1011600034808,"Societatea cu Răspundere Limitată ""VAKFARM""","MD-2019, str. Izvoarelor 74, or. Codru, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MINCOSTAR""","Societatea cu Răspundere Limitată ""VAKFARM"""
390,2025-10-15,1021602002460,"Societatea cu Răspundere Limitată ""ROIBA&MEDICAL PLUS""","MD-3100, str. Fiodor Dostoevschi 63, ap.(of.) 7, mun. Bălţi, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""PACIURCA&PARTNERS""","Societatea cu Răspundere Limitată ""ROIBA&MEDICAL PLUS"""
391,2025-10-15,1017600014750,"Societatea cu Răspundere Limitată ""PATROL INTERNATIONAL""","MD-2001, str. Albişoara 4, ap.(of.) 602, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SOFT LEADER""","Societatea cu Răspundere Limitată ""PATROL INTERNATIONAL"""
392,2025-10-16,1022606001457,"Societatea cu Răspundere Limitată ""SKYGATE""","MD-4424, s. Horodişte, r-l Călăraşi, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MEDEEA HONEY""","Societatea cu Răspundere Limitată ""SKYGATE"""
393,2025-10-16,1003600086969,"Societatea cu Răspundere Limitată ""RESAN""","MD-2023, str. Industrială 21, mun. Chişinău, Republica Moldova","INTREPRINDEREA MIXTA MOLDO-GERMANA ""RESAN"" S.R.L.","Societatea cu Răspundere Limitată ""RESAN"""
394,2025-10-16,1004607002877,"Societatea cu Răspundere Limitată ""CROSSFORT-SOR""","MD-3001, str. Alexei Mateevici 17, ap.(of.) 42, mun. Soroca, r-l Soroca, Republica Moldova","SOCIETATEA COMERCIALA ""LESER"" S.R.L.","Societatea cu Răspundere Limitată ""CROSSFORT-SOR"""
395,2025-10-17,1002608001208,"Societatea cu Răspundere Limitată ""CARP CORP""","MD-4301, str. Păcii 106, or. Căuşeni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SONAIANAL""","Societatea cu Răspundere Limitată ""CARP CORP"""
396,2025-10-17,1022600026865,"Societatea cu Răspundere Limitată ""MECANO HIDRAULICA""","MD-2011, str. Costiujeni 1G, or. Codru, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""UMT FORKLIFTS VICENTIU GROUP""","Societatea cu Răspundere Limitată ""MECANO HIDRAULICA"""
397,2025-10-17,1003600072465,"Asociaţia de Proprietari din Condominiu ""A0120-0294""","MD-2069, str. Calea Ieşilor 7/3, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/104"" COOP","Asociaţia de Proprietari din Condominiu ""A0120- 0294"""
398,2025-10-21,1020600035588,"Societatea cu Răspundere Limitată ""CIBEX ALTOR""","MD-2004, str. Mihai Viteazul 4, ap.(of.) 1403, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""CHIPER-AUTO""","Societatea cu Răspundere Limitată ""CIBEX ALTOR"""
399,2025-10-22,1024600067723,"Societatea cu Răspundere Limitată ""CONTINENTAL EXPRESS LINES""","MD-3425, s. Drăguşeni, r-l Hînceşti, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ENERGY GLOBAL CONCEPT""","Societatea cu Răspundere Limitată ""CONTINENTAL EXPRESS LINES"""
400,2025-10-22,1018600017183,"Societatea cu Răspundere Limitată ""GORI-CONSTRUCT""","MD-2003, str. Hîrtoape 26/1, ap.(of.) 26, or. Durleşti, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MOONBOW""","Societatea cu Răspundere Limitată ""GORI- CONSTRUCT"""
401,2025-10-24,1020600037191,"Societatea cu Răspundere Limitată ""DASA STUDIO""","MD-2044, str. Mihail Sadoveanu 4/6, ap.(of.) 50, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ROSU-HARTA VINULUI""","Societatea cu Răspundere Limitată ""DASA STUDIO"""
402,2025-10-27,1022602001356,"Societatea cu Răspundere Limitată ""SOROCEAN ENERGY GROUP""","MD-5018, s. Domulgeni, r-l Floreşti, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SOROCEAN MEAT""","Societatea cu Răspundere Limitată ""SOROCEAN ENERGY GROUP"""
403,2025-10-27,1013609000963,"Casa de Schimb Valutar ""8 CAPITAL EXCHANGE"" Societate cu Răspundere Limitată","MD-2005, str. Alexandr Puşkin 44/1, mun. Chişinău, Republica Moldova","SOCIETATE CU RASPUNDERE LIMITATA ""EXPRES-MONEDA""","Casa de Schimb Valutar ""8 CAPITAL EXCHANGE"" Societate cu Răspundere Limitată"
404,2025-10-27,1016600000499,"Societatea cu Răspundere Limitată ""AGRISOURCE""","MD-2071, str. Alba-Iulia 85/2, ap.(of.) 21, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BEER TRADE""","Societatea cu Răspundere Limitată ""AGRISOURCE"""
405,2025-10-31,1010605002485,"Societatea cu Răspundere Limitată ""DAMIRA IRRIVIO GRUP""","MD-3401, str. Alexandru cel Bun 94, ap.(of.) 17, mun. Hînceşti, r-l Hînceşti, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MAIDANPROIECT""","Societatea cu Răspundere Limitată ""DAMIRA IRRIVIO GRUP"""
406,2025-10-31,1012600025649,"Societatea cu Răspundere Limitată ""THERAPLUSH LAB""","MD-2012, str. Mitropolit Varlaam 73/7, ap.(of.) 1, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""URSU DENT""","Societatea cu Răspundere Limitată ""THERAPLUSH LAB"""
407,2025-10-31,1022600031964,"Societatea cu Răspundere Limitată ""ZENTARI TECH""","MD-2025, str. Nicolae Testemiţanu 3/A, ap.(of.) 125, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""JALDARIO TECH""","Societatea cu Răspundere Limitată ""ZENTARI TECH"""
408,2025-10-31,1024600039458,"Societatea cu Răspundere Limitată ""AGRO-ANALITICA GRUP""","MD-2019, str. Drumul Schinoasei 118, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""AGRO ANALITICA""","Societatea cu Răspundere Limitată ""AGRO- ANALITICA GRUP"""
409,2025-10-31,1015603000596,"Societatea cu Răspundere Limitată ""TOPCONSTRUCT-BNP""","MD-3901, str. Dunării 3, mun. Cahul, r-l Cahul, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BNN-OIL""","Societatea cu Răspundere Limitată ""TOPCONSTRUCT-BNP"""
410,2025-10-31,1016600036863,"Societatea cu Răspundere Limitată ""VELTRIX DIGITAL""","MD-2072, bd. Dacia 4/1, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""RED METEOR""","Societatea cu Răspundere Limitată ""VELTRIX DIGITAL"""
411,2025-10-31,1008600043981,"Societatea cu Răspundere Limitată ""DIAS COMPANY""","MD-3734, s. Ţigăneşti, r-l Străşeni, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""SIGMATOOLS""","Societatea cu Răspundere Limitată ""DIAS COMPANY"""
412,2025-11-03,1020605001799,"Societatea cu Răspundere Limitată ""LAGMAR ENERGY""","MD-2009, str. Panteleimon Halippa 6, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""FLYDEV-4D""","Societatea cu Răspundere Limitată ""LAGMAR ENERGY"""
413,2025-11-04,1010600013064,"Societatea cu Răspundere Limitată ""IMOL CONSTRUCTION""","MD-2012, str. Mihai Eminescu 70, ap.(of.) 22, mun. Chişinău, Republica Moldova","INTREPRINDEREA CU CAPITAL STRAIN ""IMOL CONSTRUCTION"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""IMOL CONSTRUCTION"""
414,2025-11-04,1003600073473,"Asociaţia de Proprietari din Condominiu ""A0120-0298""","MD-2051, str. Sălcuţa 16, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/358"" COOP","Asociaţia de Proprietari din Condominiu ""A0120- 0298"""
415,2025-11-04,1024600013225,"Societatea cu Răspundere Limitată ""XELAK TECHNOLOGY""","MD-2086, str. Ion Creangă 9, ap.(of.) 18, s. Dobrogea, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""XELAK COFFEE""","Societatea cu Răspundere Limitată ""XELAK TECHNOLOGY"""
416,2025-11-05,1018600036487,"Societatea cu Răspundere Limitată ""ORBEXA GROUP""","MD-2001, str. Tiraspol 5, mun. Chişinău, Republica Moldova","AGENT DE ASIGURARE ""ITECO ASIG"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""ORBEXA GROUP"""
417,2025-11-06,1003600043779,"Asociaţia de Proprietari din Condominiu ""A0120-0295""","MD-2064, str. Alba-Iulia 8/1, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE LOCUINTE PRIVATIZATE ""NR.53/424"" COOP","Asociaţia de Proprietari din Condominiu ""A0120- 0295"""
418,2025-11-06,1018607000470,"Societatea cu Răspundere Limitată ""AURORA-ARTS""","MD-5216, s. Drochia, r-l Drochia, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ECOFERM-GROUP""","Societatea cu Răspundere Limitată ""AURORA- ARTS"""
419,2025-11-10,1023600050380,"Societatea cu Răspundere Limitată ""FINLEX ALLIANCE""","MD-5830, s. Sărătenii Vechi, r-l Teleneşti, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MELANY BAKERY GROUP""","Societatea cu Răspundere Limitată ""FINLEX ALLIANCE"""
420,2025-11-11,1015600032064,"Societatea cu Răspundere Limitată ""KIRSAN ENERGY""","MD-2062, bd. Dacia 59/E, ap.(of.) P101, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""MY LIFE""","Societatea cu Răspundere Limitată ""KIRSAN ENERGY"""
421,2025-11-12,1022605000718,"Societatea cu Răspundere Limitată ""MOVSOL""","MD-3401, str. Industrială 1, mun. Hînceşti, r-l Hînceşti, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ADRISAND-COM""","Societatea cu Răspundere Limitată ""MOVSOL"""
422,2025-11-12,1014605000342,"Societatea cu Răspundere Limitată ""ARENA FOOD""","MD-6324, s. Sărata Nouă, r-l Leova, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""NOVACOMIMPEX""","Societatea cu Răspundere Limitată ""ARENA FOOD"""
423,2025-11-12,1016600026367,"Societatea cu Răspundere Limitată ""EVM SPACE""","MD-2003, str. Alexandru cel Bun 7, or. Durleşti, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""WOODLUX COM""","Societatea cu Răspundere Limitată ""EVM SPACE"""
424,2025-11-13,1025600008835,"Societatea cu Răspundere Limitată ""SAVOR TUR""","MD-2081, str. Ioan Botezătorul 6, s. Bubuieci, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""ZOLOS TRAVEL AGENCY""","Societatea cu Răspundere Limitată ""SAVOR TUR"""
425,2025-11-13,1006600005448,"Asociaţia de Proprietari din Condominiu ""A0110-0271""","MD-2019, str. Petru Ungureanu 32, mun. Chişinău, Republica Moldova","ASOCIATIA PROPRIETARILOR DE GARAGE ""NR.57""","Asociaţia de Proprietari din Condominiu ""A0110- 0271"""
426,2025-11-13,1018600026660,"Societatea cu Răspundere Limitată ""VERDUM HOME""","MD-2075, str. Mircea cel Batrîn 43/E, ap.(of.) 609, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""STEREA DMITRII""","Societatea cu Răspundere Limitată ""VERDUM HOME"""
427,2025-11-14,1018600040202,"Societatea cu Răspundere Limitată ""UNION ADMINISTRATION""","MD-2012, str. Armenească 28, mun. Chişinău, Republica Moldova","ORGANIZATIA DE CREDITARE NEBANCARA ""UNION CREDIT"" SOCIETATE CU RASPUNDERE LIMITATA","Societatea cu Răspundere Limitată ""UNION ADMINISTRATION"""
428,2025-11-18,1020600026584,"Societatea cu Răspundere Limitată ""AVENGA TECHNOLOGIES""","MD-2068, str. Calea Ieşilor 8/1, ap.(of.) 8, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""QINSHIFT""","Societatea cu Răspundere Limitată ""AVENGA TECHNOLOGIES"""
429,2025-11-19,1013600004245,"Societatea cu Răspundere Limitată ""NORDEX DISTRIBUTION""","MD-2002, bd. Decebal 6, ap.(of.) et.4, mun. Chişinău, Republica Moldova","SOCIETATEA CU RASPUNDERE LIMITATA ""BALKAN TRADING GROUP""","Societatea cu Răspundere Limitată ""NORDEX DISTRIBUTION"""
